Date,LLOY_Open,LLOY_High,LLOY_Low,LLOY_Close,LLOY_Change,LLOY_Percent,LSE_Price,LSE_Open,LSE_High,LSE_Low,LSE_Change,LSE_Percent,2 MYYC,10 MYYC,2s10s
27-Aug-19,49.59,51.299999,49.349998,49.759998,-0.0034,-0.3416,6840.00,6900.00,6902.00,6784.00,0.0012,0.1200,0.37,0.47,0.1052
28-Aug-19,49.855,49.939999,49.215,49.514999,0.0069,0.6867,6880.00,6852.00,6904.00,6804.00,0.0058,0.5800,0.34,0.41,0.0722
29-Aug-19,49.244999,50.147999,48.419998,49.805,-0.0112,-1.1244,6970.00,6894.00,6982.00,6876.00,0.0131,1.3100,0.35,0.40,0.0535
30-Aug-19,49.994999,51.049999,49.720001,49.830002,0.0033,0.3311,6954.00,6936.00,7032.00,6932.00,-0.0023,-0.2300,0.38,0.44,0.0599
2-Sep-19,49.84,50.77,49.830002,50.32,-0.0095,-0.9539,7020.00,6936.00,7040.00,6932.00,0.0095,0.9500,0.33,0.39,0.0601
3-Sep-19,49.91,50.299999,49.224998,49.59,0.0065,0.6453,7034.00,7020.00,7058.00,6956.00,0.0020,0.2000,0.31,0.36,0.0489
4-Sep-19,49.25,50.419998,49.205002,49.595001,-0.0070,-0.6956,7136.00,7100.00,7142.00,6948.00,0.0145,1.4500,0.36,0.47,0.1112
5-Sep-19,49.25,50.630001,49.139999,50.029999,-0.0156,-1.5591,7208.00,7216.00,7316.00,7152.00,0.0101,1.0100,0.44,0.57,0.1348
6-Sep-19,49.57,50.400002,49.259998,50.040001,-0.0094,-0.9393,7322.00,7228.00,7370.00,7202.00,0.0158,1.5800,0.37,0.47,0.1003
9-Sep-19,49.349998,50.252998,48.779999,50.18,-0.0165,-1.6540,7080.00,7392.00,7420.00,7080.00,-0.0331,-3.3100,0.44,0.57,0.1329
10-Sep-19,50.169998,52.419998,50.009998,52.32,-0.0411,-4.1093,6804.00,7070.00,7171.90,6732.00,-0.0390,-3.9000,0.46,0.60,0.1365
11-Sep-19,52.959999,53.470001,50.883999,52.599998,0.0068,0.6844,7206.00,6818.00,7922.00,6690.00,0.0591,5.9100,0.48,0.60,0.1197
12-Sep-19,52.380001,53.124001,50.919998,51.939999,0.0085,0.8471,7252.00,7250.00,7296.00,7158.00,0.0064,0.6400,0.50,0.60,0.1023
13-Sep-19,52.43,54.939999,52.41,54.259998,-0.0337,-3.3726,7514.00,7260.00,7566.00,7198.00,0.0361,3.6100,0.56,0.72,0.1595
16-Sep-19,54.130001,54.68,53.900002,54.119999,0.0002,0.0185,7404.00,7434.00,7434.00,7274.00,-0.0146,-1.4600,0.50,0.65,0.1467
17-Sep-19,54.02,54.150002,53.16,53.16,0.0162,1.6178,7350.00,7376.00,7432.00,7330.00,-0.0073,-0.7300,0.51,0.65,0.1365
18-Sep-19,52.68,53.450001,52.639999,52.990002,-0.0059,-0.5850,7256.00,7340.00,7344.00,7256.00,-0.0128,-1.2800,0.50,0.61,0.1045
19-Sep-19,53.5,54.610001,53.200001,54.060001,-0.0104,-1.0359,7246.00,7230.00,7256.00,7150.00,-0.0014,-0.1400,0.49,0.59,0.1007
20-Sep-19,54.799999,55.860001,54.759998,55.509998,-0.0128,-1.2790,7250.00,7200.00,7264.00,7168.00,0.0006,0.0600,0.51,0.59,0.0840
23-Sep-19,55.23,55.23,53.709999,54.299999,0.0171,1.7127,7306.00,7258.00,7334.00,7202.00,0.0077,0.7700,0.44,0.50,0.0550
24-Sep-19,54.509998,54.880001,53.310001,53.5,0.0189,1.8878,7370.00,7320.00,7402.80,7288.00,0.0088,0.8800,0.43,0.49,0.0610
25-Sep-19,52.720001,53.601002,52.209999,53.369999,-0.0122,-1.2179,7254.00,7296.00,7330.00,7161.40,-0.0157,-1.5700,0.43,0.49,0.0617
26-Sep-19,53.09,53.976002,53.09,53.59,-0.0093,-0.9330,7350.00,7268.00,7350.00,7266.00,0.0132,1.3200,0.42,0.49,0.0713
27-Sep-19,53.439999,54.939999,53.209999,54.939999,-0.0273,-2.7303,7360.00,7406.00,7518.50,7304.00,0.0014,0.1400,0.37,0.47,0.1052
30-Sep-19,54.740002,55.240002,54.119999,54.119999,0.0115,1.1456,7308.00,7324.00,7400.00,7308.00,-0.0071,-0.7100,0.35,0.46,0.1088
1-Oct-19,54.509998,54.880001,53.259998,53.380001,0.0212,2.1169,7256.00,7378.00,7378.00,7232.00,-0.0071,-0.7100,0.32,0.44,0.1197
2-Oct-19,53.07,53.598999,51.59,51.599998,0.0285,2.8488,7008.00,7220.00,7238.00,6984.00,-0.0342,-3.4200,0.35,0.46,0.1079
3-Oct-19,51.34,51.860001,51.049999,51.619999,-0.0054,-0.5424,7168.00,7008.00,7188.00,6980.00,0.0228,2.2800,0.35,0.45,0.1024
4-Oct-19,51.619999,52.306999,51.119999,52.029999,-0.0079,-0.7880,7382.00,7310.00,7394.00,7172.00,0.0299,2.9900,0.32,0.40,0.0863
7-Oct-19,51.560001,52.16,51.185001,51.700001,-0.0027,-0.2708,7452.00,7400.00,7500.00,7362.00,0.0095,0.9500,0.32,0.42,0.0972
8-Oct-19,52.119999,52.209999,50.955002,50.98,0.0224,2.2362,7020.00,7024.00,7132.00,6950.00,-0.0580,-5.8000,0.29,0.38,0.0919
9-Oct-19,50.98,51.27,50.599998,50.700001,0.0055,0.5523,7248.00,7052.00,7248.00,7028.00,0.0325,3.2500,0.34,0.43,0.0892
10-Oct-19,50.82,52.830002,50.790001,52.669998,-0.0351,-3.5124,7288.00,7226.00,7288.00,7088.00,0.0055,0.5500,0.41,0.52,0.1088
11-Oct-19,54.549999,59.540001,54.060001,59.130001,-0.0775,-7.7456,7300.00,7270.00,7326.00,7119.70,0.0016,0.1600,0.54,0.68,0.1378
14-Oct-19,57.75,59.540001,54.062,57.790001,-0.0007,-0.0692,7298.00,7304.00,7356.00,7244.00,-0.0003,-0.0300,0.50,0.61,0.1123
15-Oct-19,59.200001,62.080002,58.490002,60.82,-0.0266,-2.6636,7208.00,7300.00,7410.00,7122.00,-0.0123,-1.2300,0.54,0.67,0.1378
16-Oct-19,61.310001,61.82,59,61.029999,0.0046,0.4588,7010.00,7210.00,7210.00,6996.00,-0.0275,-2.7500,0.52,0.66,0.1425
17-Oct-19,60.099998,64.169998,59.790001,60.959999,-0.0141,-1.4108,7044.00,7064.00,7086.00,6920.00,0.0049,0.4900,0.51,0.67,0.1584
18-Oct-19,59.049999,61.150002,58.945999,60.189999,-0.0189,-1.8940,7102.00,7100.00,7236.00,7066.00,0.0082,0.8200,0.53,0.68,0.1578
21-Oct-19,60.77,62.040001,60.542,61.439999,-0.0109,-1.0905,7074.00,7142.00,7169.90,7008.00,-0.0039,-0.3900,0.54,0.72,0.1825
22-Oct-19,61,61.533001,60.349998,60.41,0.0098,0.9767,7134.00,7054.00,7134.00,6946.00,0.0085,0.8500,0.50,0.68,0.1757
23-Oct-19,59.27,60.529999,58.93,60.279999,-0.0168,-1.6755,6936.00,7098.00,7149.80,6912.00,-0.0278,-2.7800,0.50,0.65,0.1474
24-Oct-19,59.91,60.580002,59.52,59.849998,0.0010,0.1003,6990.00,6994.00,7080.00,6942.00,0.0078,0.7800,0.46,0.60,0.1403
25-Oct-19,59.66,60.453999,58.860001,60,-0.0057,-0.5667,6818.00,6956.00,7024.00,6795.30,-0.0246,-2.4600,0.49,0.64,0.1521
28-Oct-19,59.900002,60.453999,58.5,58.93,0.0165,1.6460,7022.00,6838.00,7060.00,6798.00,0.0299,2.9900,0.53,0.69,0.1671
29-Oct-19,58.720001,58.799999,57.77,58.259998,0.0079,0.7896,7046.00,7040.00,7046.00,6930.00,0.0034,0.3400,0.53,0.69,0.1564
30-Oct-19,58.73,58.863998,56.919998,57.599998,0.0196,1.9618,7102.00,7042.00,7118.00,6984.00,0.0079,0.7900,0.50,0.65,0.1520
31-Oct-19,56.669998,57.060001,55.859001,56.799999,-0.0023,-0.2289,6954.00,7130.00,7168.00,6946.00,-0.0208,-2.0800,0.48,0.60,0.1152
1-Nov-19,56.990002,57.459999,53.740002,57.310001,-0.0056,-0.5584,7038.00,7024.00,7132.00,6987.50,0.0121,1.2100,0.51,0.64,0.1303
4-Nov-19,57.82,58.514999,57.790001,57.790001,0.0005,0.0519,7050.00,7050.00,7138.00,7000.00,0.0017,0.1700,0.53,0.69,0.1611
5-Nov-19,58.52,58.560001,57.240002,58.09,0.0074,0.7402,6962.00,7068.00,7076.00,6960.00,-0.0125,-1.2500,0.56,0.74,0.1761
6-Nov-19,58.490002,58.759998,56.990002,57.41,0.0188,1.8812,6932.00,7000.00,7006.00,6858.00,-0.0043,-0.4300,0.54,0.71,0.1686
7-Nov-19,57.490002,57.869999,57.02,57.200001,0.0051,0.5070,6746.00,7000.00,7023.00,6746.00,-0.0268,-2.6800,0.51,0.75,0.2396
8-Nov-19,57.080002,59.630001,56.255001,56.279999,0.0142,1.4215,6904.00,6730.00,6920.50,6722.00,0.0234,2.3400,0.54,0.77,0.2310
11-Nov-19,55.959999,58.959999,55.41,58.540001,-0.0441,-4.4072,6906.00,6892.00,6940.00,6806.00,0.0003,0.0300,0.56,0.78,0.2286
12-Nov-19,58.700001,59.610001,58.18,59.59,-0.0149,-1.4935,6960.00,6940.00,7040.00,6868.00,0.0078,0.7800,0.56,0.79,0.2312
13-Nov-19,59.119999,59.700001,58.57,59.59,-0.0079,-0.7887,6988.00,6952.00,7016.00,6876.00,0.0040,0.4000,0.54,0.74,0.1990
14-Nov-19,59.610001,59.959999,58.689999,58.689999,0.0157,1.5676,6934.00,6974.00,7032.00,6910.00,-0.0077,-0.7700,0.52,0.70,0.1830
15-Nov-19,59.200001,59.639999,58.040001,59.169998,0.0005,0.0507,6840.00,6946.00,6992.00,6784.00,-0.0136,-1.3600,0.53,0.71,0.1828
18-Nov-19,59.27,60.528999,58.970001,59.740002,-0.0079,-0.7867,6840.00,6868.00,6964.00,6820.00,0.0000,0.0000,0.55,0.73,0.1719
19-Nov-19,60.060001,60.66,59.299999,59.48,0.0098,0.9751,6896.00,6878.00,7002.00,6858.00,0.0082,0.8200,0.55,0.72,0.1716
20-Nov-19,58.860001,59.16,58.470001,59.110001,-0.0042,-0.4229,6882.00,6906.00,6940.00,6784.00,-0.0020,-0.2000,0.55,0.72,0.1617
21-Nov-19,58.900002,59.130001,58.18,58.700001,0.0034,0.3407,6782.00,6848.00,6848.00,6708.00,-0.0145,-1.4500,0.57,0.74,0.1774
22-Nov-19,58.740002,60.130001,58.548,59.790001,-0.0176,-1.7561,6838.00,6814.00,6862.00,6764.00,0.0083,0.8300,0.51,0.69,0.1807
25-Nov-19,60.279999,61.169998,60.096001,60.869999,-0.0097,-0.9693,6862.00,6864.00,6939.20,6801.40,0.0035,0.3500,0.51,0.68,0.1777
26-Nov-19,61.18,61.509998,60.400002,61.220001,-0.0007,-0.0653,7010.00,6962.00,7038.00,6898.00,0.0216,2.1600,0.47,0.63,0.1566
27-Nov-19,61.380001,61.84,60.830002,61.700001,-0.0052,-0.5186,7026.00,7050.00,7064.00,6940.00,0.0023,0.2300,0.51,0.67,0.1605
28-Nov-19,61.82,62.689999,61.669998,62.689999,-0.0139,-1.3878,6898.00,7018.00,7018.00,6864.00,-0.0182,-1.8200,0.51,0.66,0.1556
29-Nov-19,62.509998,62.509998,60.950001,61.150002,0.0222,2.2240,6872.00,6850.00,6946.00,6828.00,-0.0038,-0.3800,0.54,0.68,0.1450
2-Dec-19,60.950001,61.290001,59.721001,59.939999,0.0169,1.6850,6750.00,6872.00,6944.30,6726.00,-0.0178,-1.7800,0.55,0.73,0.1815
3-Dec-19,60.07,60.490002,58.84,59.169998,0.0152,1.5210,6682.00,6758.00,6824.00,6674.00,-0.0101,-1.0100,0.50,0.67,0.1692
4-Dec-19,59.049999,60.709999,59.040001,60.57,-0.0251,-2.5095,6794.00,6670.00,6824.00,6664.00,0.0168,1.6800,0.56,0.73,0.1641
5-Dec-19,60.580002,61.279999,60.130001,60.509998,0.0012,0.1157,6740.00,6800.00,6832.00,6718.00,-0.0079,-0.7900,0.58,0.77,0.1880
6-Dec-19,60.709999,61.540001,60.32,61.470001,-0.0124,-1.2364,6790.00,6750.00,6836.00,6728.00,0.0074,0.7400,0.57,0.76,0.1853
9-Dec-19,61.16,62.75,61.16,62.130001,-0.0156,-1.5612,6778.00,6796.00,6827.60,6766.00,-0.0018,-0.1800,0.56,0.76,0.1954
10-Dec-19,62.099998,62.200001,60.678001,61.48,0.0101,1.0085,6798.00,6812.00,6812.00,6708.00,0.0030,0.3000,0.58,0.79,0.2075
11-Dec-19,61.330002,61.470001,60.339001,60.400002,0.0154,1.5397,6898.00,6800.00,6898.00,6742.00,0.0147,1.4700,0.57,0.77,0.2068
12-Dec-19,60.48,61.299999,60.240002,61.119999,-0.0105,-1.0471,6950.00,6912.00,7028.00,6876.00,0.0075,0.7500,0.59,0.82,0.2373
13-Dec-19,69.800003,73.660004,60.720001,64.330002,0.0850,8.5030,7172.00,7000.00,7214.00,6847.20,0.0319,3.1900,0.55,0.80,0.2509
16-Dec-19,64.989998,67.849998,64.68,67.25,-0.0336,-3.3606,7332.00,7222.00,7424.00,7222.00,0.0223,2.2300,0.60,0.83,0.2274
17-Dec-19,65.25,65.25,62.939999,63.299999,0.0308,3.0806,7436.00,7338.00,7450.00,7338.00,0.0142,1.4200,0.54,0.77,0.2325
18-Dec-19,63.18,63.580002,62.599998,63.360001,-0.0028,-0.2841,7404.00,7410.00,7480.00,7376.00,-0.0043,-0.4300,0.52,0.79,0.2609
19-Dec-19,63.279999,64.300003,63,63.919998,-0.0100,-1.0013,7460.00,7388.00,7460.00,7288.00,0.0076,0.7600,0.55,0.82,0.2697
20-Dec-19,64.199997,64.330002,62.330002,62.330002,0.0300,3.0002,7624.00,7498.00,7642.00,7462.00,0.0220,2.2000,0.53,0.78,0.2566
23-Dec-19,62,62.48,61.77,62.200001,-0.0032,-0.3215,7734.00,7640.00,7750.00,7622.00,0.0144,1.4400,0.54,0.78,0.2410
24-Dec-19,62.490002,63.75,62.349998,63.419998,-0.0147,-1.4664,7680.00,7750.00,7760.00,7636.00,-0.0070,-0.7000,0.53,0.77,0.2445
27-Dec-19,64,64.510002,62.959999,63.18,0.0130,1.2979,7760.00,7708.00,7768.00,7678.00,0.0104,1.0400,,,0.0000
30-Dec-19,63.369999,63.610001,63.040001,63.119999,0.0040,0.3961,7716.00,7770.00,7770.00,7702.00,-0.0057,-0.5700,,,0.0000
31-Dec-19,62.880001,63.151001,62.299999,62.5,0.0061,0.6080,7750.00,7752.00,7752.00,7648.00,0.0044,0.4400,0.52,0.76,0.2360
2-Jan-20,63.75,63.84,63.240002,63.709999,0.0006,0.0628,7700.00,7746.00,7816.00,7674.00,-0.0065,-0.6500,0.58,0.87,0.2904
3-Jan-20,63.799999,63.799999,62.450001,63.049999,0.0119,1.1895,7638.00,7656.00,7658.00,7580.00,-0.0081,-0.8100,0.53,0.82,0.2921
6-Jan-20,63.200001,63.324001,62.071999,63.25,-0.0008,-0.0790,7500.00,7576.00,7660.00,7494.00,-0.0181,-1.8100,,,0.0000
7-Jan-20,63.110001,63.689999,62.889999,63.110001,0.0000,0.0000,7440.00,7550.00,7559.80,7424.00,-0.0080,-0.8000,0.54,0.79,0.2504
8-Jan-20,62.580002,62.869999,62.009998,62.790001,-0.0033,-0.3344,7542.00,7410.00,7542.00,7355.70,0.0137,1.3700,0.53,0.74,0.2173
